publishedAt,authorDisplayName,textDisplay,likeCount,Label
2025-09-19T02:04:12Z,@diananurdin6504,Jujurlah bang,0,POSITIF
2025-09-15T11:22:01Z,@arisaja892,Sangat tidak pantas,0,NEGATIF
2025-09-12T21:55:07Z,@Alvin_Hardianto,capek dengernya,0,OTHER
2025-09-08T16:06:13Z,@QoriAhmad-d9u,ROSI terus usut ni pejabat yg makan dri pajak,0,POSITIF
2025-09-08T11:29:47Z,@zainuddinzainuddin6669,Rahasia mu akan dibongkar  oleh rakyat tinggal tunggu waktu revulisi mendobrak DPR,0,NEGATIF
2025-09-08T05:15:26Z,@DianaLarasati-h9i,Berarti gaji dpr masih wow. Yg jls lebih dr milyaran. Gzjiemang  biasa tp tunjangan masih wow. Berarti masih  tinggi.,0,NEGATIF
2025-09-08T05:07:21Z,@DianaLarasati-h9i,Pokoknya kita masyarakat Indonesia  hrs bersatu gaji dpr/pejabat  hrs scra terbuka. Klauperlu demo besar2an lagi.,0,NEGATIF
2025-09-08T02:23:08Z,@PURNOMO-x5t,Gaji dan tunjangan  anggota  Dpr terlalu mewah dan masih banyak korupsi. Makanya UU Perampasan ASET gak pernah dibahas. Kualitas DPR sangat rendah !,0,NEGATIF
2025-09-07T20:01:17Z,@boadicaverdandi8861,"Jawabnya mana, jangan malah berbelit2, tidak berani transparan atau jawab, karena gaji mereka menggunung dibandingkan gaji rakyat jelatanya. TUNJANGAN kerja, apa tunjangan tidur2ran atau joget2?!!!",0,NEGATIF
2025-09-07T18:10:49Z,@Kamplen0101,Rapat kalian cuman drama kuras anggaran,0,NEGATIF
2025-09-07T18:10:13Z,@Kamplen0101,Bertele&quot; indonesia gaji DPR paling rendah di dunia TAPI TUNJANGANYA PALING RAKUS SEDUNIA,0,NEGATIF
2025-09-07T11:09:45Z,@NyomanSuryasa,"Anggaran masih di luar nalar, komunikasi apa, dengan paket internet berapa Gbps, dan telp berapa banyak sampai harus bayar biaya komunikasi per bulan 20jt??? Di tambah, bukannya DPR sebagai badan dan memang topoksinua buat pengawasan legislasi, pengawasan anggaran dsb, kenapa di anggap sebagai honorarium, bukannya memang tanggung jawab DPR, yg merupakan gaji pokoknya. Ga masuk akal sebesar 25jt. Dan hal yang sama di tunjangan konstitusional yg nilainya fantastis 57jt yg memang merupakan tugas dan tanggung jawabnya, dan seharusnya sudah masuk didalam gaji pokok.",0,NEGATIF
2025-09-07T05:51:22Z,@mangwaling,"Kebanyakan u a. E e e ,gaji gak terbuka terus ngomong aja banyak jeda blebab blebeb",0,NEGATIF
2025-09-07T05:13:12Z,@FaoziSalman,Resufle total DPR!! Tidak transparan mengenai gaji dan tunjangan. Kaji kembali gaji dan tunjangan yang melambung tinggi. Sesuaikain dengan gaji UMR rakyat tidak lebih dari 3x lipat. Kalau tidak mengikuti keinginan rakyat baiknya kalian mundur dengan hormat. Kenerja kalian buruk dan banyak korupsi. KPK periksa dan audit anggonta dewan DPR yang rumahnya mentereng.,0,NEGATIF
2025-09-07T04:34:28Z,@supiantoyan280,Betul lagunya bang Iwan Fals yg berjudul  wakil Rakyat. Wahai DPR resapi lagunya bang Iwan Fals yg berjudul wakil Rakyat  jangan hanya dengar nyanyian lagu setuju dari atasan dan tidak memperjuangkan kepentingan rakyat.,0,NEGATIF
2025-09-07T03:10:42Z,@Dontknow1234x,"Gaji rakyatmu 20jt/kepala, mungkin itu solusi sila ke 5 keadilan sosial bagi seluruh rakyat indonesia",0,NEGATIF
2025-09-07T02:28:36Z,@Kansa-tr5pe,Jawaban Anggota DPR tidak jujur apa lagi transparan,0,NEGATIF
2025-09-06T16:41:39Z,@Afdhal-nd3vh,sarang korupsi adalah dpr.,0,NEGATIF
2025-09-06T15:24:00Z,@MIrpan-s6w,Ini beneran anggota DPR? Tapi kok  fallacy😂,0,NEGATIF
2025-09-06T13:19:42Z,@DediVirgo-s3z,Apa dibalik semua ini,0,NEGATIF
2025-09-06T11:35:57Z,@hnrraharusun9639,O,0,OTHER
2025-09-06T09:43:30Z,@bahrussalam7829,Tahe kau DPR 😂,0,NEGATIF
